Sexo;Comunidad autónoma;Familia profesional;Total
AMBOS SEXOS;Comunidad de Madrid;ENERGÍA Y AGUA;.
AMBOS SEXOS;Comunidad de Madrid;FABRICACIÓN MECÁNICA;65,1
AMBOS SEXOS;Comunidad de Madrid;HOSTELERÍA Y TURISMO;68,5
AMBOS SEXOS;Comunidad de Madrid;IMAGEN PERSONAL;64,5
AMBOS SEXOS;Comunidad de Madrid;IMAGEN Y SONIDO;.
AMBOS SEXOS;Comunidad de Madrid;INDUSTRIAS ALIMENTARIAS;.
AMBOS SEXOS;Comunidad de Madrid;INDUSTRIAS EXTRACTIVAS;.
AMBOS SEXOS;Comunidad de Madrid;INFORMÁTICA Y COMUNICACIONES;65,2
AMBOS SEXOS;Comunidad de Madrid;INSTALACIÓN Y MANTENIMIENTO;.
AMBOS SEXOS;Comunidad de Madrid;MADERA, MUEBLE Y CORCHO;73,1
AMBOS SEXOS;Comunidad de Madrid;MARÍTIMO-PESQUERA;.
AMBOS SEXOS;Comunidad de Madrid;QUÍMICA;.
AMBOS SEXOS;Comunidad de Madrid;SANIDAD;.
AMBOS SEXOS;Comunidad de Madrid;SEGURIDAD Y MEDIO AMBIENTE;.
AMBOS SEXOS;Comunidad de Madrid;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;.
AMBOS SEXOS;Comunidad de Madrid;TEXTIL, CONFECCIÓN Y PIEL;.
AMBOS SEXOS;Comunidad de Madrid;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;57,6
AMBOS SEXOS;Comunidad de Madrid;VIDRIO Y CERÁMICA;.
AMBOS SEXOS;Región de Murcia;ACTIVIDADES FÍSICAS Y DEPORTIVAS;..
AMBOS SEXOS;Región de Murcia;ADMINISTRACIÓN Y GESTIÓN;70,8
AMBOS SEXOS;Región de Murcia;AGRARIA;79,6
AMBOS SEXOS;Región de Murcia;ARTES GRÁFICAS;81,7
AMBOS SEXOS;Región de Murcia;ARTES Y ARTESANÍAS;..
AMBOS SEXOS;Región de Murcia;COMERCIO Y MARKETING;79,2
AMBOS SEXOS;Región de Murcia;EDIFICACIÓN Y OBRA CIVIL;..
AMBOS SEXOS;Región de Murcia;ELECTRICIDAD Y ELECTRÓNICA;67,5
AMBOS SEXOS;Región de Murcia;ENERGÍA Y AGUA;..
AMBOS SEXOS;Región de Murcia;FABRICACIÓN MECÁNICA;73,0
AMBOS SEXOS;Región de Murcia;HOSTELERÍA Y TURISMO;74,9
AMBOS SEXOS;Región de Murcia;IMAGEN PERSONAL;78,0
AMBOS SEXOS;Región de Murcia;IMAGEN Y SONIDO;..
AMBOS SEXOS;Región de Murcia;INDUSTRIAS ALIMENTARIAS;75,9
AMBOS SEXOS;Región de Murcia;INDUSTRIAS EXTRACTIVAS;..
AMBOS SEXOS;Región de Murcia;INFORMÁTICA Y COMUNICACIONES;71,9
AMBOS SEXOS;Región de Murcia;INSTALACIÓN Y MANTENIMIENTO;65,0
AMBOS SEXOS;Región de Murcia;MADERA, MUEBLE Y CORCHO;59,6
AMBOS SEXOS;Región de Murcia;MARÍTIMO-PESQUERA;..
AMBOS SEXOS;Región de Murcia;QUÍMICA;..
AMBOS SEXOS;Región de Murcia;SANIDAD;..
AMBOS SEXOS;Región de Murcia;SEGURIDAD Y MEDIO AMBIENTE;..
AMBOS SEXOS;Región de Murcia;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;..
AMBOS SEXOS;Región de Murcia;TEXTIL, CONFECCIÓN Y PIEL;39,8
AMBOS SEXOS;Región de Murcia;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;69,2
AMBOS SEXOS;Región de Murcia;VIDRIO Y CERÁMICA;..
AMBOS SEXOS;Comunidad Foral de Navarra;ACTIVIDADES FÍSICAS Y DEPORTIVAS;.
AMBOS SEXOS;Comunidad Foral de Navarra;ADMINISTRACIÓN Y GESTIÓN;93,4
AMBOS SEXOS;Comunidad Foral de Navarra;AGRARIA;74,3
AMBOS SEXOS;Comunidad Foral de Navarra;ARTES GRÁFICAS;69,1
AMBOS SEXOS;Comunidad Foral de Navarra;ARTES Y ARTESANÍAS;.
AMBOS SEXOS;Comunidad Foral de Navarra;COMERCIO Y MARKETING;74,1
AMBOS SEXOS;Comunidad Foral de Navarra;EDIFICACIÓN Y OBRA CIVIL;60,2
AMBOS SEXOS;Comunidad Foral de Navarra;ELECTRICIDAD Y ELECTRÓNICA;80,3
AMBOS SEXOS;Comunidad Foral de Navarra;ENERGÍA Y AGUA;.
AMBOS SEXOS;Comunidad Foral de Navarra;FABRICACIÓN MECÁNICA;80,1
AMBOS SEXOS;Comunidad Foral de Navarra;HOSTELERÍA Y TURISMO;88,2
AMBOS SEXOS;Comunidad Foral de Navarra;IMAGEN PERSONAL;83,7
AMBOS SEXOS;Comunidad Foral de Navarra;IMAGEN Y SONIDO;.
AMBOS SEXOS;Comunidad Foral de Navarra;INDUSTRIAS ALIMENTARIAS;50,5
AMBOS SEXOS;Comunidad Foral de Navarra;INDUSTRIAS EXTRACTIVAS;.
AMBOS SEXOS;Comunidad Foral de Navarra;INFORMÁTICA Y COMUNICACIONES;83,0
AMBOS SEXOS;Comunidad Foral de Navarra;INSTALACIÓN Y MANTENIMIENTO;.
AMBOS SEXOS;Comunidad Foral de Navarra;MADERA, MUEBLE Y CORCHO;98,7
AMBOS SEXOS;Comunidad Foral de Navarra;MARÍTIMO-PESQUERA;.
AMBOS SEXOS;Comunidad Foral de Navarra;QUÍMICA;.
AMBOS SEXOS;Comunidad Foral de Navarra;SANIDAD;.
AMBOS SEXOS;Comunidad Foral de Navarra;SEGURIDAD Y MEDIO AMBIENTE;.
AMBOS SEXOS;Comunidad Foral de Navarra;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;.
AMBOS SEXOS;Comunidad Foral de Navarra;TEXTIL, CONFECCIÓN Y PIEL;76,8
AMBOS SEXOS;Comunidad Foral de Navarra;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;80,6
AMBOS SEXOS;Comunidad Foral de Navarra;VIDRIO Y CERÁMICA;.
AMBOS SEXOS;País Vasco;ACTIVIDADES FÍSICAS Y DEPORTIVAS;.
AMBOS SEXOS;País Vasco;ADMINISTRACIÓN Y GESTIÓN;96,1
AMBOS SEXOS;País Vasco;AGRARIA;88,8
AMBOS SEXOS;País Vasco;ARTES GRÁFICAS;95,7
AMBOS SEXOS;País Vasco;ARTES Y ARTESANÍAS;.
AMBOS SEXOS;País Vasco;COMERCIO Y MARKETING;88,4
AMBOS SEXOS;País Vasco;EDIFICACIÓN Y OBRA CIVIL;96,7
AMBOS SEXOS;País Vasco;ELECTRICIDAD Y ELECTRÓNICA;80,3
AMBOS SEXOS;País Vasco;ENERGÍA Y AGUA;.
AMBOS SEXOS;País Vasco;FABRICACIÓN MECÁNICA;78,0
AMBOS SEXOS;País Vasco;HOSTELERÍA Y TURISMO;79,8
AMBOS SEXOS;País Vasco;IMAGEN PERSONAL;90,9
AMBOS SEXOS;País Vasco;IMAGEN Y SONIDO;.
AMBOS SEXOS;País Vasco;INDUSTRIAS ALIMENTARIAS;36,4
AMBOS SEXOS;País Vasco;INDUSTRIAS EXTRACTIVAS;.
AMBOS SEXOS;País Vasco;INFORMÁTICA Y COMUNICACIONES;91,7
AMBOS SEXOS;País Vasco;INSTALACIÓN Y MANTENIMIENTO;84,7
AMBOS SEXOS;País Vasco;MADERA, MUEBLE Y CORCHO;78,4
AMBOS SEXOS;País Vasco;MARÍTIMO-PESQUERA;.
AMBOS SEXOS;País Vasco;QUÍMICA;.
AMBOS SEXOS;País Vasco;SANIDAD;.
AMBOS SEXOS;País Vasco;SEGURIDAD Y MEDIO AMBIENTE;.
AMBOS SEXOS;País Vasco;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;95,9
AMBOS SEXOS;País Vasco;TEXTIL, CONFECCIÓN Y PIEL;56,0
AMBOS SEXOS;País Vasco;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;85,5
AMBOS SEXOS;País Vasco;VIDRIO Y CERÁMICA;.
AMBOS SEXOS;La Rioja;ACTIVIDADES FÍSICAS Y DEPORTIVAS;61,5
AMBOS SEXOS;La Rioja;ADMINISTRACIÓN Y GESTIÓN;70,8
AMBOS SEXOS;La Rioja;AGRARIA;66,5
AMBOS SEXOS;La Rioja;ARTES GRÁFICAS;.
AMBOS SEXOS;La Rioja;ARTES Y ARTESANÍAS;.
AMBOS SEXOS;La Rioja;COMERCIO Y MARKETING;80,4
AMBOS SEXOS;La Rioja;EDIFICACIÓN Y OBRA CIVIL;.
AMBOS SEXOS;La Rioja;ELECTRICIDAD Y ELECTRÓNICA;59,5
AMBOS SEXOS;La Rioja;ENERGÍA Y AGUA;.
AMBOS SEXOS;La Rioja;FABRICACIÓN MECÁNICA;63,4
AMBOS SEXOS;La Rioja;HOSTELERÍA Y TURISMO;58,6
AMBOS SEXOS;La Rioja;IMAGEN PERSONAL;61,3
AMBOS SEXOS;La Rioja;IMAGEN Y SONIDO;.
AMBOS SEXOS;La Rioja;INDUSTRIAS ALIMENTARIAS;.
AMBOS SEXOS;La Rioja;INDUSTRIAS EXTRACTIVAS;.
AMBOS SEXOS;La Rioja;INFORMÁTICA Y COMUNICACIONES;61,0
AMBOS SEXOS;La Rioja;INSTALACIÓN Y MANTENIMIENTO;.
AMBOS SEXOS;La Rioja;MADERA, MUEBLE Y CORCHO;78,2
AMBOS SEXOS;La Rioja;MARÍTIMO-PESQUERA;.
AMBOS SEXOS;La Rioja;QUÍMICA;.
AMBOS SEXOS;La Rioja;SANIDAD;.
AMBOS SEXOS;La Rioja;SEGURIDAD Y MEDIO AMBIENTE;.
AMBOS SEXOS;La Rioja;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;46,9
AMBOS SEXOS;La Rioja;TEXTIL, CONFECCIÓN Y PIEL;85,3
AMBOS SEXOS;La Rioja;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;74,7
AMBOS SEXOS;La Rioja;VIDRIO Y CERÁMICA;.
AMBOS SEXOS;Ceuta;ACTIVIDADES FÍSICAS Y DEPORTIVAS;93,0
AMBOS SEXOS;Ceuta;ADMINISTRACIÓN Y GESTIÓN;0,0
AMBOS SEXOS;Ceuta;AGRARIA;43,3
AMBOS SEXOS;Ceuta;ARTES GRÁFICAS;.
AMBOS SEXOS;Ceuta;ARTES Y ARTESANÍAS;.
AMBOS SEXOS;Ceuta;COMERCIO Y MARKETING;69,1
AMBOS SEXOS;Ceuta;EDIFICACIÓN Y OBRA CIVIL;42,5
AMBOS SEXOS;Ceuta;ELECTRICIDAD Y ELECTRÓNICA;58,4
AMBOS SEXOS;Ceuta;ENERGÍA Y AGUA;.
AMBOS SEXOS;Ceuta;FABRICACIÓN MECÁNICA;.
AMBOS SEXOS;Ceuta;HOSTELERÍA Y TURISMO;37,0
AMBOS SEXOS;Ceuta;IMAGEN PERSONAL;72,9
AMBOS SEXOS;Ceuta;IMAGEN Y SONIDO;.
AMBOS SEXOS;Ceuta;INDUSTRIAS ALIMENTARIAS;.
AMBOS SEXOS;Ceuta;INDUSTRIAS EXTRACTIVAS;.
AMBOS SEXOS;Ceuta;INFORMÁTICA Y COMUNICACIONES;0,0
AMBOS SEXOS;Ceuta;INSTALACIÓN Y MANTENIMIENTO;57,5
AMBOS SEXOS;Ceuta;MADERA, MUEBLE Y CORCHO;.
AMBOS SEXOS;Ceuta;MARÍTIMO-PESQUERA;.
AMBOS SEXOS;Ceuta;QUÍMICA;.
AMBOS SEXOS;Ceuta;SANIDAD;.
AMBOS SEXOS;Ceuta;SEGURIDAD Y MEDIO AMBIENTE;.
AMBOS SEXOS;Ceuta;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;.
AMBOS SEXOS;Ceuta;TEXTIL, CONFECCIÓN Y PIEL;.
AMBOS SEXOS;Ceuta;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;30,9
AMBOS SEXOS;Ceuta;VIDRIO Y CERÁMICA;.
AMBOS SEXOS;Melilla;ACTIVIDADES FÍSICAS Y DEPORTIVAS;64,0
AMBOS SEXOS;Melilla;ADMINISTRACIÓN Y GESTIÓN;59,1
AMBOS SEXOS;Melilla;AGRARIA;.
AMBOS SEXOS;Melilla;ARTES GRÁFICAS;86,9
AMBOS SEXOS;Melilla;ARTES Y ARTESANÍAS;.
AMBOS SEXOS;Melilla;COMERCIO Y MARKETING;56,8
AMBOS SEXOS;Melilla;EDIFICACIÓN Y OBRA CIVIL;.
AMBOS SEXOS;Melilla;ELECTRICIDAD Y ELECTRÓNICA;36,6
AMBOS SEXOS;Melilla;ENERGÍA Y AGUA;.
AMBOS SEXOS;Melilla;FABRICACIÓN MECÁNICA;58,3
AMBOS SEXOS;Melilla;HOSTELERÍA Y TURISMO;57,1
AMBOS SEXOS;Melilla;IMAGEN PERSONAL;59,2
AMBOS SEXOS;Melilla;IMAGEN Y SONIDO;.
AMBOS SEXOS;Melilla;INDUSTRIAS ALIMENTARIAS;.
AMBOS SEXOS;Melilla;INDUSTRIAS EXTRACTIVAS;.
AMBOS SEXOS;Melilla;INFORMÁTICA Y COMUNICACIONES;63,4
AMBOS SEXOS;Melilla;INSTALACIÓN Y MANTENIMIENTO;.
AMBOS SEXOS;Melilla;MADERA, MUEBLE Y CORCHO;68,5
AMBOS SEXOS;Melilla;MARÍTIMO-PESQUERA;.
AMBOS SEXOS;Melilla;QUÍMICA;.
AMBOS SEXOS;Melilla;SANIDAD;.
AMBOS SEXOS;Melilla;SEGURIDAD Y MEDIO AMBIENTE;.
AMBOS SEXOS;Melilla;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;.
AMBOS SEXOS;Melilla;TEXTIL, CONFECCIÓN Y PIEL;.
AMBOS SEXOS;Melilla;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;47,7
AMBOS SEXOS;Melilla;VIDRIO Y CERÁMICA;.
Hombres;Porcentajes total de módulos aprobados;ACTIVIDADES FÍSICAS Y DEPORTIVAS;72,4
Hombres;Porcentajes total de módulos aprobados;ADMINISTRACIÓN Y GESTIÓN;73,1
Hombres;Porcentajes total de módulos aprobados;AGRARIA;75,0
Hombres;Porcentajes total de módulos aprobados;ARTES GRÁFICAS;76,5
Hombres;Porcentajes total de módulos aprobados;ARTES Y ARTESANÍAS;.
Hombres;Porcentajes total de módulos aprobados;COMERCIO Y MARKETING;74,5
Hombres;Porcentajes total de módulos aprobados;EDIFICACIÓN Y OBRA CIVIL;68,3
Hombres;Porcentajes total de módulos aprobados;ELECTRICIDAD Y ELECTRÓNICA;69,7
Hombres;Porcentajes total de módulos aprobados;ENERGÍA Y AGUA;.
Hombres;Porcentajes total de módulos aprobados;FABRICACIÓN MECÁNICA;72,3
Hombres;Porcentajes total de módulos aprobados;HOSTELERÍA Y TURISMO;73,2
Hombres;Porcentajes total de módulos aprobados;IMAGEN PERSONAL;65,1
Hombres;Porcentajes total de módulos aprobados;IMAGEN Y SONIDO;.
Hombres;Porcentajes total de módulos aprobados;INDUSTRIAS ALIMENTARIAS;74,5
Hombres;Porcentajes total de módulos aprobados;INDUSTRIAS EXTRACTIVAS;.
Hombres;Porcentajes total de módulos aprobados;INFORMÁTICA Y COMUNICACIONES;73,8
Hombres;Porcentajes total de módulos aprobados;INSTALACIÓN Y MANTENIMIENTO;76,6
Hombres;Porcentajes total de módulos aprobados;MADERA, MUEBLE Y CORCHO;73,0
Hombres;Porcentajes total de módulos aprobados;MARÍTIMO-PESQUERA;69,6
Hombres;Porcentajes total de módulos aprobados;QUÍMICA;.
Hombres;Porcentajes total de módulos aprobados;SANIDAD;.
Hombres;Porcentajes total de módulos aprobados;SEGURIDAD Y MEDIO AMBIENTE;.
Hombres;Porcentajes total de módulos aprobados;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;80,8
Hombres;Porcentajes total de módulos aprobados;TEXTIL, CONFECCIÓN Y PIEL;64,3
Hombres;Porcentajes total de módulos aprobados;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;67,9
Hombres;Porcentajes total de módulos aprobados;VIDRIO Y CERÁMICA;81,2
Hombres;Andalucía;ACTIVIDADES FÍSICAS Y DEPORTIVAS;54,5
Hombres;Andalucía;ADMINISTRACIÓN Y GESTIÓN;76,3
Hombres;Andalucía;AGRARIA;75,5
Hombres;Andalucía;ARTES GRÁFICAS;81,9
Hombres;Andalucía;ARTES Y ARTESANÍAS;.
Hombres;Andalucía;COMERCIO Y MARKETING;73,5
Hombres;Andalucía;EDIFICACIÓN Y OBRA CIVIL;67,0
Hombres;Andalucía;ELECTRICIDAD Y ELECTRÓNICA;74,2
Hombres;Andalucía;ENERGÍA Y AGUA;.
Hombres;Andalucía;FABRICACIÓN MECÁNICA;74,7
Hombres;Andalucía;HOSTELERÍA Y TURISMO;75,3
Hombres;Andalucía;IMAGEN PERSONAL;67,8
Hombres;Andalucía;IMAGEN Y SONIDO;.
Hombres;Andalucía;INDUSTRIAS ALIMENTARIAS;83,1
Hombres;Andalucía;INDUSTRIAS EXTRACTIVAS;.
Hombres;Andalucía;INFORMÁTICA Y COMUNICACIONES;75,3
Hombres;Andalucía;INSTALACIÓN Y MANTENIMIENTO;.
Hombres;Andalucía;MADERA, MUEBLE Y CORCHO;68,8
Hombres;Andalucía;MARÍTIMO-PESQUERA;.
Hombres;Andalucía;QUÍMICA;.
Hombres;Andalucía;SANIDAD;.
Hombres;Andalucía;SEGURIDAD Y MEDIO AMBIENTE;.
Hombres;Andalucía;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;76,2
Hombres;Andalucía;TEXTIL, CONFECCIÓN Y PIEL;78,0
Hombres;Andalucía;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;69,8
Hombres;Andalucía;VIDRIO Y CERÁMICA;83,8
Hombres;Aragón;ACTIVIDADES FÍSICAS Y DEPORTIVAS;.
Hombres;Aragón;ADMINISTRACIÓN Y GESTIÓN;69,9
Hombres;Aragón;AGRARIA;71,8
Hombres;Aragón;ARTES GRÁFICAS;58,8
Hombres;Aragón;ARTES Y ARTESANÍAS;.
Hombres;Aragón;COMERCIO Y MARKETING;75,6
Hombres;Aragón;EDIFICACIÓN Y OBRA CIVIL;90,8
Hombres;Aragón;ELECTRICIDAD Y ELECTRÓNICA;59,8
Hombres;Aragón;ENERGÍA Y AGUA;.
Hombres;Aragón;FABRICACIÓN MECÁNICA;75,2
Hombres;Aragón;HOSTELERÍA Y TURISMO;72,6
Hombres;Aragón;IMAGEN PERSONAL;58,1
Hombres;Aragón;IMAGEN Y SONIDO;.
Hombres;Aragón;INDUSTRIAS ALIMENTARIAS;66,4
Hombres;Aragón;INDUSTRIAS EXTRACTIVAS;.
Hombres;Aragón;INFORMÁTICA Y COMUNICACIONES;72,1
Hombres;Aragón;INSTALACIÓN Y MANTENIMIENTO;47,1
Hombres;Aragón;MADERA, MUEBLE Y CORCHO;70,1
Hombres;Aragón;MARÍTIMO-PESQUERA;.
Hombres;Aragón;QUÍMICA;.
Hombres;Aragón;SANIDAD;.
Hombres;Aragón;SEGURIDAD Y MEDIO AMBIENTE;.
Hombres;Aragón;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;.
Hombres;Aragón;TEXTIL, CONFECCIÓN Y PIEL;47,6
Hombres;Aragón;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;72,5
Hombres;Aragón;VIDRIO Y CERÁMICA;.
Hombres;Principado de Asturias;ACTIVIDADES FÍSICAS Y DEPORTIVAS;.
Hombres;Principado de Asturias;ADMINISTRACIÓN Y GESTIÓN;52,0
Hombres;Principado de Asturias;AGRARIA;100,0
Hombres;Principado de Asturias;ARTES GRÁFICAS;.
Hombres;Principado de Asturias;ARTES Y ARTESANÍAS;.
Hombres;Principado de Asturias;COMERCIO Y MARKETING;72,7
Hombres;Principado de Asturias;EDIFICACIÓN Y OBRA CIVIL;.
Hombres;Principado de Asturias;ELECTRICIDAD Y ELECTRÓNICA;48,2
Hombres;Principado de Asturias;ENERGÍA Y AGUA;.
Hombres;Principado de Asturias;FABRICACIÓN MECÁNICA;61,7
Hombres;Principado de Asturias;HOSTELERÍA Y TURISMO;72,4
Hombres;Principado de Asturias;IMAGEN PERSONAL;46,0
Hombres;Principado de Asturias;IMAGEN Y SONIDO;.
Hombres;Principado de Asturias;INDUSTRIAS ALIMENTARIAS;.
Hombres;Principado de Asturias;INDUSTRIAS EXTRACTIVAS;.
Hombres;Principado de Asturias;INFORMÁTICA Y COMUNICACIONES;69,3
Hombres;Principado de Asturias;INSTALACIÓN Y MANTENIMIENTO;.
Hombres;Principado de Asturias;MADERA, MUEBLE Y CORCHO;67,8
Hombres;Principado de Asturias;MARÍTIMO-PESQUERA;.
Hombres;Principado de Asturias;QUÍMICA;.
Hombres;Principado de Asturias;SANIDAD;.
Hombres;Principado de Asturias;SEGURIDAD Y MEDIO AMBIENTE;.
Hombres;Principado de Asturias;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;.
Hombres;Principado de Asturias;TEXTIL, CONFECCIÓN Y PIEL;.
Hombres;Principado de Asturias;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;61,3
Hombres;Principado de Asturias;VIDRIO Y CERÁMICA;.
Hombres;Islas Baleares;ACTIVIDADES FÍSICAS Y DEPORTIVAS;80,5
Hombres;Islas Baleares;ADMINISTRACIÓN Y GESTIÓN;75,6
Hombres;Islas Baleares;AGRARIA;76,3
Hombres;Islas Baleares;ARTES GRÁFICAS;100,0
Hombres;Islas Baleares;ARTES Y ARTESANÍAS;.
Hombres;Islas Baleares;COMERCIO Y MARKETING;77,0
Hombres;Islas Baleares;EDIFICACIÓN Y OBRA CIVIL;.
Hombres;Islas Baleares;ELECTRICIDAD Y ELECTRÓNICA;80,9
Hombres;Islas Baleares;ENERGÍA Y AGUA;.
Hombres;Islas Baleares;FABRICACIÓN MECÁNICA;75,0
Hombres;Islas Baleares;HOSTELERÍA Y TURISMO;77,8
Hombres;Islas Baleares;IMAGEN PERSONAL;72,3
Hombres;Islas Baleares;IMAGEN Y SONIDO;.
Hombres;Islas Baleares;INDUSTRIAS ALIMENTARIAS;.
Hombres;Islas Baleares;INDUSTRIAS EXTRACTIVAS;.
Hombres;Islas Baleares;INFORMÁTICA Y COMUNICACIONES;78,3
Hombres;Islas Baleares;INSTALACIÓN Y MANTENIMIENTO;80,6
Hombres;Islas Baleares;MADERA, MUEBLE Y CORCHO;51,8
Hombres;Islas Baleares;MARÍTIMO-PESQUERA;.
Hombres;Islas Baleares;QUÍMICA;.
Hombres;Islas Baleares;SANIDAD;.
Hombres;Islas Baleares;SEGURIDAD Y MEDIO AMBIENTE;.
Hombres;Islas Baleares;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;.
Hombres;Islas Baleares;TEXTIL, CONFECCIÓN Y PIEL;.
Hombres;Islas Baleares;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;78,6
Hombres;Islas Baleares;VIDRIO Y CERÁMICA;.
Hombres;Canarias;ACTIVIDADES FÍSICAS Y DEPORTIVAS;.
Hombres;Canarias;ADMINISTRACIÓN Y GESTIÓN;64,2
Hombres;Canarias;AGRARIA;66,2
Hombres;Canarias;ARTES GRÁFICAS;.
Hombres;Canarias;ARTES Y ARTESANÍAS;.
Hombres;Canarias;COMERCIO Y MARKETING;72,9
Hombres;Canarias;EDIFICACIÓN Y OBRA CIVIL;64,6
Hombres;Canarias;ELECTRICIDAD Y ELECTRÓNICA;62,3
Hombres;Canarias;ENERGÍA Y AGUA;.
Hombres;Canarias;FABRICACIÓN MECÁNICA;61,2
Hombres;Canarias;HOSTELERÍA Y TURISMO;69,7
Hombres;Canarias;IMAGEN PERSONAL;60,6
Hombres;Canarias;IMAGEN Y SONIDO;.
Hombres;Canarias;INDUSTRIAS ALIMENTARIAS;.
Hombres;Canarias;INDUSTRIAS EXTRACTIVAS;.
Hombres;Canarias;INFORMÁTICA Y COMUNICACIONES;68,9
Hombres;Canarias;INSTALACIÓN Y MANTENIMIENTO;67,6
Hombres;Canarias;MADERA, MUEBLE Y CORCHO;68,9
Hombres;Canarias;MARÍTIMO-PESQUERA;.
Hombres;Canarias;QUÍMICA;.
Hombres;Canarias;SANIDAD;.
Hombres;Canarias;SEGURIDAD Y MEDIO AMBIENTE;.
Hombres;Canarias;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;71,8
Hombres;Canarias;TEXTIL, CONFECCIÓN Y PIEL;77,7
Hombres;Canarias;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;62,4
Hombres;Canarias;VIDRIO Y CERÁMICA;.
Hombres;Cantabria;ACTIVIDADES FÍSICAS Y DEPORTIVAS;.
Hombres;Cantabria;ADMINISTRACIÓN Y GESTIÓN;86,4
Hombres;Cantabria;AGRARIA;90,3
Hombres;Cantabria;ARTES GRÁFICAS;94,0
Hombres;Cantabria;ARTES Y ARTESANÍAS;.
Hombres;Cantabria;COMERCIO Y MARKETING;100,0
Hombres;Cantabria;EDIFICACIÓN Y OBRA CIVIL;100,0
Hombres;Cantabria;ELECTRICIDAD Y ELECTRÓNICA;79,3
Hombres;Cantabria;ENERGÍA Y AGUA;.
Hombres;Cantabria;FABRICACIÓN MECÁNICA;71,6
Hombres;Cantabria;HOSTELERÍA Y TURISMO;75,4
Hombres;Cantabria;IMAGEN PERSONAL;0,0
Hombres;Cantabria;IMAGEN Y SONIDO;.
Hombres;Cantabria;INDUSTRIAS ALIMENTARIAS;80,0
Hombres;Cantabria;INDUSTRIAS EXTRACTIVAS;.
Hombres;Cantabria;INFORMÁTICA Y COMUNICACIONES;92,5
Hombres;Cantabria;INSTALACIÓN Y MANTENIMIENTO;.
Hombres;Cantabria;MADERA, MUEBLE Y CORCHO;87,4
Hombres;Cantabria;MARÍTIMO-PESQUERA;.
Hombres;Cantabria;QUÍMICA;.
Hombres;Cantabria;SANIDAD;.
Hombres;Cantabria;SEGURIDAD Y MEDIO AMBIENTE;.
Hombres;Cantabria;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;.
Hombres;Cantabria;TEXTIL, CONFECCIÓN Y PIEL;81,8
Hombres;Cantabria;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;71,8
Hombres;Cantabria;VIDRIO Y CERÁMICA;.
Hombres;Castilla y León;ACTIVIDADES FÍSICAS Y DEPORTIVAS;.
Hombres;Castilla y León;ADMINISTRACIÓN Y GESTIÓN;66,2
Hombres;Castilla y León;AGRARIA;63,0
Hombres;Castilla y León;ARTES GRÁFICAS;.
Hombres;Castilla y León;ARTES Y ARTESANÍAS;.
Hombres;Castilla y León;COMERCIO Y MARKETING;70,6
Hombres;Castilla y León;EDIFICACIÓN Y OBRA CIVIL;78,7
Hombres;Castilla y León;ELECTRICIDAD Y ELECTRÓNICA;66,0
Hombres;Castilla y León;ENERGÍA Y AGUA;.
Hombres;Castilla y León;FABRICACIÓN MECÁNICA;65,7
Hombres;Castilla y León;HOSTELERÍA Y TURISMO;64,8
Hombres;Castilla y León;IMAGEN PERSONAL;49,0
Hombres;Castilla y León;IMAGEN Y SONIDO;.
Hombres;Castilla y León;INDUSTRIAS ALIMENTARIAS;65,4
Hombres;Castilla y León;INDUSTRIAS EXTRACTIVAS;.
Hombres;Castilla y León;INFORMÁTICA Y COMUNICACIONES;66,9
Hombres;Castilla y León;INSTALACIÓN Y MANTENIMIENTO;.
Hombres;Castilla y León;MADERA, MUEBLE Y CORCHO;69,8
Hombres;Castilla y León;MARÍTIMO-PESQUERA;.
Hombres;Castilla y León;QUÍMICA;.
Hombres;Castilla y León;SANIDAD;.
Hombres;Castilla y León;SEGURIDAD Y MEDIO AMBIENTE;.
